case_id,offender_race,victim_race,sentence
684,black,white,jail
685,white,white,jail
686,black,black,jail
687,black,black,jail
688,black,black,jail
689,black,black,jail
690,white,white,jail
691,black,black,jail
692,black,black,jail
693,black,black,jail
694,white,white,jail
695,white,white,jail
696,white,white,jail
697,white,white,jail
698,white,white,jail
699,black,white,jail
700,white,black,jail
701,white,white,jail
702,black,black,jail
703,white,white,jail
704,black,black,jail
705,white,white,jail
706,white,white,jail
707,white,white,jail
708,white,white,jail
709,black,white,jail
710,black,black,jail
711,white,white,jail
712,white,white,jail
713,white,white,jail
714,black,black,jail
715,black,black,jail
716,black,black,jail
717,white,white,jail
718,black,black,jail
719,white,white,jail
720,white,white,jail
721,black,black,jail
722,black,black,jail
723,white,white,jail
724,black,black,jail
725,white,white,jail
726,white,white,jail
727,white,white,death
728,white,white,jail
729,black,white,jail
730,white,white,jail
731,white,white,jail
732,black,black,jail
733,black,black,jail
734,white,black,jail
735,white,white,jail
736,black,black,jail
737,black,black,jail
738,white,white,death
739,black,black,jail
740,white,white,jail
741,black,black,jail
742,black,black,jail
743,black,black,jail
744,black,black,jail
745,white,white,death
746,black,black,jail
747,black,white,jail
748,white,white,jail
749,black,black,jail
750,white,white,jail
751,white,white,jail
752,white,white,jail
753,black,black,jail
754,black,black,jail
755,white,white,jail
756,white,white,jail
757,black,black,jail
758,white,white,jail
759,white,white,jail
760,white,white,jail
761,white,white,jail
762,black,black,jail
763,black,black,jail
764,black,black,jail
765,black,black,jail
766,white,white,jail
767,black,black,jail
768,white,white,jail
769,white,white,jail
770,black,black,jail
771,white,black,jail
772,white,black,jail
773,white,white,jail
774,white,white,jail
775,white,white,jail
776,black,black,jail
777,white,white,jail
778,black,black,jail
779,black,black,jail
780,black,black,jail
781,black,black,jail
782,black,black,jail
783,white,white,jail
784,white,white,jail
785,white,white,jail
786,black,black,jail
787,black,white,jail
788,white,white,jail
789,white,white,jail
790,white,white,jail
791,white,white,jail
792,white,black,jail
793,white,white,jail
794,white,white,jail
795,black,black,jail
796,white,white,jail
797,white,white,jail
798,white,white,jail
799,white,white,jail
800,black,black,jail
801,black,black,jail
802,white,white,jail
803,black,black,jail
804,white,white,jail
805,black,white,jail
806,white,white,jail
807,white,white,jail
808,black,black,jail
809,black,black,jail
810,white,white,jail
811,black,white,jail
812,white,white,jail
813,white,white,jail
814,white,white,jail
815,white,white,jail
816,black,black,jail
817,black,black,jail
818,black,white,jail
819,black,black,jail
820,white,white,jail
821,white,white,jail
822,black,black,jail
823,white,white,jail
824,white,white,jail
825,white,white,jail
826,black,black,jail
827,white,white,jail
828,white,white,jail
829,black,black,jail
830,black,white,jail
831,white,white,jail
832,white,white,jail
833,black,black,jail
834,white,white,jail
835,white,white,jail
836,black,white,jail
837,black,black,jail
838,black,black,jail
839,white,white,jail
840,black,black,jail
841,white,white,jail
842,white,white,jail
843,white,white,jail
844,black,black,jail
845,white,white,jail
846,black,black,jail
847,black,black,jail
848,black,black,jail
849,black,black,jail
850,black,white,jail
851,white,white,jail
852,black,black,jail
853,black,black,jail
854,black,black,jail
855,black,white,jail
856,white,white,jail
857,white,white,jail
858,black,black,jail
859,white,white,jail
860,black,black,jail
861,white,white,jail
862,white,white,jail
863,black,black,jail
864,black,black,jail
865,black,black,jail
866,black,black,jail
867,white,white,jail
868,black,black,jail
869,black,black,jail
870,black,black,jail
871,white,white,jail
872,black,black,jail
873,black,black,jail
874,white,white,jail
875,white,white,jail
876,black,black,jail
877,white,white,jail
878,black,black,jail
879,black,black,jail
880,black,black,jail
881,black,black,jail
882,white,white,jail
883,black,black,jail
884,white,white,jail
885,black,black,jail
886,white,white,jail
887,white,white,jail
888,white,white,jail
889,black,white,jail
890,black,black,jail
891,white,white,jail
892,white,white,jail
893,white,white,jail
894,black,black,jail
895,black,black,jail
896,black,black,jail
897,black,black,jail
898,white,white,jail
899,white,black,jail
900,black,black,jail
901,white,white,jail
902,black,black,jail
903,black,black,jail
904,black,black,jail
905,white,white,jail
906,black,black,jail
907,black,white,jail
908,white,white,jail
909,black,black,jail
910,white,white,jail
911,black,black,jail
912,black,black,jail
913,white,white,jail
914,black,black,jail
915,black,black,jail
916,white,white,jail
917,black,black,jail
918,white,white,jail
919,black,white,jail
920,black,black,death
921,black,black,jail
922,black,black,jail
923,white,white,jail
924,black,black,jail
925,black,white,death
926,white,white,jail
927,black,black,jail
928,black,black,jail
929,white,white,jail
930,black,black,jail
931,black,black,jail
932,white,white,jail
933,white,white,jail
934,white,white,jail
935,black,black,jail
936,black,black,jail
937,black,black,jail
938,white,white,jail
939,white,white,jail
940,white,white,jail
941,black,black,jail
942,white,white,jail
943,white,white,jail
944,black,black,jail
945,black,black,jail
946,white,white,jail
947,white,white,jail
948,white,white,jail
949,black,white,jail
950,white,white,jail
951,black,black,jail
952,white,black,jail
953,white,white,jail
954,black,black,jail
955,white,white,jail
956,white,white,jail
957,black,black,jail
958,white,white,jail
959,black,black,jail
960,white,white,jail
961,black,black,jail
962,white,white,jail
963,white,white,jail
964,black,black,jail
965,white,white,jail
966,black,black,jail
967,black,black,jail
968,white,white,jail
969,black,black,jail
970,black,black,jail
971,black,black,jail
972,black,black,jail
973,white,white,jail
974,black,black,jail
975,black,black,jail
976,black,black,jail
