Date,Open,High,Low,Close,Volume
27-Apr-01,"1,238.28","1,253.07","1,238.28","1,253.05",-
26-Apr-01,"1,231.64","1,248.30","1,231.64","1,234.52",-
25-Apr-01,"1,209.11","1,232.36","1,207.38","1,228.75",-
24-Apr-01,"1,224.36","1,233.54","1,208.89","1,209.47",-
23-Apr-01,"1,242.36","1,242.36","1,217.47","1,224.36",-
20-Apr-01,"1,252.88","1,252.88","1,234.41","1,242.98",-
19-Apr-01,"1,239.58","1,253.71","1,233.39","1,253.69",-
18-Apr-01,"1,200.58","1,248.42","1,200.58","1,238.16",-
17-Apr-01,"1,179.68","1,192.25","1,168.90","1,191.53",-
16-Apr-01,"1,180.39","1,184.64","1,167.38","1,179.68",-
12-Apr-01,"1,165.51","1,183.51","1,157.73","1,183.50",-
11-Apr-01,"1,173.90","1,182.24","1,160.26","1,165.89",-
10-Apr-01,"1,137.59","1,173.92","1,137.59","1,168.38",-
9-Apr-01,"1,129.88","1,146.13","1,126.38","1,137.59",-
6-Apr-01,"1,148.44","1,148.44","1,119.29","1,128.43",-
5-Apr-01,"1,109.98","1,151.47","1,109.98","1,151.44",-
4-Apr-01,"1,105.92","1,117.50","1,091.99","1,103.25",-
3-Apr-01,"1,144.04","1,144.04","1,100.19","1,106.46",-
2-Apr-01,"1,160.20","1,169.51","1,137.51","1,145.87",-
30-Mar-01,"1,147.95","1,162.80","1,143.83","1,160.33",-
29-Mar-01,"1,151.59","1,161.69","1,136.26","1,147.95",-
28-Mar-01,"1,178.04","1,178.04","1,147.83","1,153.29",-
27-Mar-01,"1,152.98","1,183.35","1,150.96","1,182.17",-
26-Mar-01,"1,140.15","1,160.02","1,140.15","1,152.69",-
23-Mar-01,"1,121.84","1,141.83","1,117.96","1,139.83",-
22-Mar-01,"1,122.14","1,124.27","1,081.19","1,117.58",-
21-Mar-01,"1,142.33","1,149.39","1,118.74","1,122.14",-
20-Mar-01,"1,172.28","1,180.56","1,142.19","1,142.62",-
19-Mar-01,"1,151.68","1,173.50","1,147.18","1,170.81",-
16-Mar-01,"1,170.96","1,170.96","1,148.64","1,150.53",-
15-Mar-01,"1,171.29","1,182.04","1,170.83","1,173.56",-
14-Mar-01,"1,197.45","1,197.45","1,155.35","1,166.71",-
13-Mar-01,"1,182.88","1,197.83","1,171.50","1,197.66",-
12-Mar-01,"1,228.88","1,228.88","1,176.78","1,180.16",-
9-Mar-01,"1,262.10","1,262.10","1,228.42","1,233.42",-
8-Mar-01,"1,260.62","1,266.50","1,257.60","1,264.74",-
7-Mar-01,"1,253.80","1,263.86","1,253.80","1,261.89",-
6-Mar-01,"1,243.88","1,267.42","1,243.88","1,253.80",-
5-Mar-01,"1,234.18","1,242.55","1,234.04","1,241.41",-
2-Mar-01,"1,241.23","1,251.01","1,219.74","1,234.18",-
1-Mar-01,"1,237.39","1,241.36","1,214.50","1,241.23",-
28-Feb-01,"1,257.94","1,263.47","1,229.65","1,239.94",-
27-Feb-01,"1,265.72","1,272.76","1,252.26","1,257.94",-
26-Feb-01,"1,245.86","1,267.69","1,241.71","1,267.65",-
23-Feb-01,"1,249.59","1,250.06","1,215.44","1,245.86",-
22-Feb-01,"1,255.99","1,259.94","1,228.33","1,252.82",-
21-Feb-01,"1,275.09","1,282.97","1,253.16","1,255.27",-
20-Feb-01,"1,301.53","1,307.16","1,278.44","1,278.94",-
16-Feb-01,"1,314.31","1,314.31","1,293.18","1,301.53",-
15-Feb-01,"1,315.92","1,331.29","1,315.92","1,326.61",-
14-Feb-01,"1,319.64","1,320.73","1,304.72","1,315.92",-
13-Feb-01,"1,332.07","1,336.62","1,317.51","1,318.80",-
12-Feb-01,"1,314.18","1,330.96","1,313.64","1,330.31",-
9-Feb-01,"1,329.81","1,330.39","1,309.98","1,314.76",-
8-Feb-01,"1,342.37","1,350.32","1,332.42","1,332.53",-
7-Feb-01,"1,351.80","1,351.80","1,334.26","1,340.89",-
6-Feb-01,"1,354.40","1,363.55","1,350.04","1,352.26",-
5-Feb-01,"1,347.08","1,354.56","1,344.48","1,354.31",-
2-Feb-01,"1,373.21","1,376.38","1,348.72","1,349.47",-
1-Feb-01,"1,365.67","1,373.50","1,359.34","1,373.47",-
31-Jan-01,"1,374.56","1,383.37","1,364.66","1,366.01",-
30-Jan-01,"1,364.42","1,375.68","1,356.20","1,373.73",-
29-Jan-01,"1,351.03","1,365.54","1,350.36","1,364.17",-
26-Jan-01,"1,353.47","1,357.48","1,342.75","1,354.95",-
25-Jan-01,"1,362.98","1,367.35","1,354.63","1,357.51",-
24-Jan-01,"1,361.74","1,369.75","1,357.28","1,364.30",-
23-Jan-01,"1,342.90","1,362.90","1,339.63","1,360.40",-
22-Jan-01,"1,341.36","1,353.62","1,333.84","1,342.90",-
19-Jan-01,"1,354.55","1,354.55","1,336.74","1,342.55",-
18-Jan-01,"1,329.89","1,352.71","1,327.41","1,347.97",-
17-Jan-01,"1,326.65","1,346.92","1,325.41","1,329.47",-
16-Jan-01,"1,318.54","1,327.81","1,313.33","1,326.65",-
12-Jan-01,"1,326.52","1,333.21","1,311.59","1,318.55",-
11-Jan-01,"1,309.72","1,332.19","1,300.80","1,326.82",-
10-Jan-01,"1,297.57","1,313.76","1,287.28","1,313.27",-
9-Jan-01,"1,298.96","1,311.72","1,295.14","1,300.80",-
8-Jan-01,"1,296.33","1,296.97","1,276.29","1,295.86",-
5-Jan-01,"1,334.26","1,334.77","1,294.95","1,298.35",-
4-Jan-01,"1,345.82","1,350.24","1,329.14","1,333.34",-
3-Jan-01,"1,280.21","1,347.76","1,274.62","1,347.56",-
2-Jan-01,"1,320.28","1,320.28","1,276.05","1,283.27",-
29-Dec-00,"1,333.15","1,340.10","1,317.51","1,320.28",-
28-Dec-00,"1,326.52","1,335.93","1,325.78","1,334.22",-
27-Dec-00,"1,314.27","1,332.03","1,310.96","1,328.92",-
26-Dec-00,"1,309.78","1,315.94","1,301.64","1,315.19",-
22-Dec-00,"1,279.47","1,305.97","1,279.47","1,305.95",-
21-Dec-00,"1,263.70","1,285.31","1,254.07","1,274.86",-
20-Dec-00,"1,305.60","1,305.60","1,261.16","1,264.74",-
19-Dec-00,"1,322.96","1,346.44","1,305.20","1,322.74",-
18-Dec-00,"1,316.32","1,332.32","1,316.32","1,322.74",-
15-Dec-00,"1,336.59","1,336.59","1,305.38","1,312.15",-
14-Dec-00,"1,359.68","1,359.68","1,340.48","1,340.93",-
13-Dec-00,"1,371.18","1,385.82","1,358.48","1,359.99",-
12-Dec-00,"1,378.97","1,380.27","1,370.27","1,371.18",-
11-Dec-00,"1,369.88","1,389.05","1,364.14","1,380.20",-
8-Dec-00,"1,353.10","1,380.33","1,353.10","1,369.89",-
7-Dec-00,"1,347.73","1,353.50","1,339.26","1,343.55",-
6-Dec-00,"1,374.72","1,376.01","1,346.15","1,351.46",-
5-Dec-00,"1,333.47","1,376.56","1,333.47","1,376.54",-
4-Dec-00,"1,317.68","1,332.06","1,310.23","1,324.97",-
1-Dec-00,"1,317.34","1,334.67","1,307.02","1,315.23",-
30-Nov-00,"1,334.55","1,334.55","1,294.90","1,314.95",-
29-Nov-00,"1,337.08","1,352.38","1,329.28","1,341.93",-
28-Nov-00,"1,348.97","1,358.81","1,334.97","1,336.09",-
27-Nov-00,"1,341.77","1,362.50","1,341.77","1,348.97",-
24-Nov-00,"1,328.84","1,343.83","1,328.84","1,341.77",-
22-Nov-00,"1,346.66","1,346.66","1,321.89","1,322.36",-
21-Nov-00,"1,343.84","1,355.87","1,333.62","1,347.35",-
20-Nov-00,"1,360.31","1,360.31","1,341.67","1,342.62",-
17-Nov-00,"1,372.70","1,384.85","1,355.55","1,367.72",-
16-Nov-00,"1,386.98","1,394.68","1,370.40","1,372.32",-
15-Nov-00,"1,383.25","1,395.96","1,374.75","1,390.04",-
14-Nov-00,"1,361.66","1,390.06","1,361.66","1,382.95",-
13-Nov-00,"1,365.98","1,365.98","1,328.62","1,351.26",-
10-Nov-00,"1,393.22","1,393.22","1,365.97","1,365.98",-
9-Nov-00,"1,408.65","1,408.65","1,369.68","1,400.14",-
8-Nov-00,"1,432.54","1,437.28","1,408.78","1,409.28",-
7-Nov-00,"1,430.86","1,436.22","1,423.26","1,431.87",-
6-Nov-00,"1,428.76","1,438.46","1,427.72","1,432.19",-
3-Nov-00,"1,429.58","1,433.21","1,420.92","1,426.69",-
2-Nov-00,"1,426.70","1,433.27","1,421.13","1,428.32",-
1-Nov-00,"1,425.25","1,429.60","1,410.45","1,421.22",-
